white,black,result,timecontrol
E_2,E_0.5,0-1,30+0
E_0.5,E_2,1-0,30+0
E_2,E_1,0-1,30+0
E_1,E_2,1-0,30+0
E_2,E_1.5,1/2-1/2,30+0
E_1.5,E_2,1/2-1/2,30+0
E_0.5,E_0,1-0,30+0
E_0,E_0.5,1-0,30+0
E_1,E_0,1-0,30+0
E_0,E_1,1-0,30+0
E_1,E_0.5,1-0,30+0
E_0.5,E_1,1-0,30+0
E_1.5,E_0,1/2-1/2,30+0
E_0,E_1.5,1-0,30+0
E_1.5,E_0.5,1-0,30+0
E_0.5,E_1.5,1-0,30+0
E_1.5,E_1,1-0,30+0
E_1,E_1.5,1-0,30+0
E_2,E_0,1-0,30+0
E_0,E_2,1-0,30+0
E_2,E_0.5,1/2-1/2,30+0
E_0.5,E_2,1-0,30+0
E_2,E_1,0-1,30+0
E_1,E_2,1-0,30+0
E_2,E_1.5,1-0,30+0
E_1.5,E_2,1/2-1/2,30+0
E_0.5,E_0,1-0,30+0
E_0,E_0.5,1/2-1/2,30+0
E_1,E_0,0-1,30+0
E_0,E_1,1-0,30+0
E_1,E_0.5,0-1,30+0
E_0.5,E_1,1/2-1/2,30+0
E_1.5,E_0,0-1,30+0
E_0,E_1.5,1-0,30+0
E_1.5,E_0.5,1-0,30+0
E_0.5,E_1.5,1-0,30+0
E_1.5,E_1,1/2-1/2,30+0
E_1,E_1.5,1-0,30+0
E_2,E_0,0-1,30+0
E_0,E_2,1-0,30+0
E_2,E_0.5,0-1,30+0
E_0.5,E_2,1/2-1/2,30+0
E_2,E_1,1/2-1/2,30+0
E_1,E_2,1-0,30+0
E_2,E_1.5,1/2-1/2,30+0
E_1.5,E_2,1-0,30+0
E_0.5,E_0,1/2-1/2,30+0
E_0,E_0.5,1/2-1/2,30+0
E_1,E_0,1/2-1/2,30+0
E_0,E_1,1/2-1/2,30+0
E_1,E_0.5,1-0,30+0
E_0.5,E_1,1/2-1/2,30+0
E_1.5,E_0,1-0,30+0
E_0,E_1.5,1-0,30+0
E_1.5,E_0.5,1/2-1/2,30+0
E_0.5,E_1.5,1-0,30+0
E_1.5,E_1,1/2-1/2,30+0
E_1,E_1.5,1-0,30+0
E_2,E_0,0-1,30+0
E_0,E_2,1/2-1/2,30+0
E_2,E_0.5,1/2-1/2,30+0
E_0.5,E_2,1/2-1/2,30+0
E_2,E_1,1/2-1/2,30+0
E_1,E_2,1-0,30+0
E_2,E_1.5,1/2-1/2,30+0
E_1.5,E_2,1-0,30+0
E_0.5,E_0,1-0,30+0
E_0,E_0.5,1-0,30+0
E_1,E_0,0-1,30+0
E_0,E_1,1-0,30+0
E_1,E_0.5,1-0,30+0
E_0.5,E_1,1/2-1/2,30+0
E_1.5,E_0,0-1,30+0
E_0,E_1.5,1-0,30+0
E_1.5,E_0.5,0-1,30+0
E_0.5,E_1.5,1-0,30+0
E_1.5,E_1,1/2-1/2,30+0
E_1,E_1.5,1/2-1/2,30+0
E_2,E_0,0-1,30+0
E_0,E_2,1/2-1/2,30+0
E_2,E_0.5,0-1,30+0
E_0.5,E_2,1-0,30+0
E_2,E_1,1-0,30+0
E_1,E_2,1-0,30+0
E_2,E_1.5,0-1,30+0
E_1.5,E_2,1-0,30+0
E_0.5,E_0,1-0,30+0
E_0,E_0.5,1-0,30+0
E_1,E_0,1/2-1/2,30+0
E_0,E_1,1/2-1/2,30+0
E_1,E_0.5,1-0,30+0
E_0.5,E_1,1/2-1/2,30+0
E_1.5,E_0,1/2-1/2,30+0
E_0,E_1.5,1/2-1/2,30+0
E_1.5,E_0.5,0-1,30+0
E_0.5,E_1.5,1-0,30+0
E_1.5,E_1,1-0,30+0
E_1,E_1.5,1/2-1/2,30+0
E_2,E_0,0-1,30+0
E_0,E_2,1-0,30+0
E_2,E_0.5,1-0,30+0
E_0.5,E_2,1-0,30+0
E_2,E_1,0-1,30+0
E_1,E_2,1-0,30+0
E_2,E_1.5,1/2-1/2,30+0
E_1.5,E_2,1-0,30+0
E_0.5,E_0,1-0,30+0
E_0,E_0.5,0-1,30+0
E_1,E_0,1/2-1/2,30+0
E_0,E_1,1-0,30+0
E_1,E_0.5,1/2-1/2,30+0
E_0.5,E_1,1-0,30+0
E_1.5,E_0,1/2-1/2,30+0
E_0,E_1.5,1/2-1/2,30+0
E_1.5,E_0.5,1/2-1/2,30+0
E_0.5,E_1.5,1-0,30+0
E_1.5,E_1,1-0,30+0
E_1,E_1.5,1-0,30+0
E_2,E_0,1/2-1/2,30+0
E_0,E_2,1-0,30+0
E_2,E_0.5,1/2-1/2,30+0
E_0.5,E_2,1-0,30+0
E_2,E_1,1/2-1/2,30+0
E_1,E_2,1-0,30+0
E_2,E_1.5,1/2-1/2,30+0
E_1.5,E_2,0-1,30+0
E_0.5,E_0,1/2-1/2,30+0
E_0,E_0.5,1-0,30+0
E_1,E_0,0-1,30+0
E_0,E_1,1/2-1/2,30+0
E_1,E_0.5,1-0,30+0
E_0.5,E_1,1-0,30+0
E_1.5,E_0,1/2-1/2,30+0
E_0,E_1.5,1-0,30+0
E_1.5,E_0.5,1/2-1/2,30+0
E_0.5,E_1.5,1-0,30+0
E_1.5,E_1,1/2-1/2,30+0
E_1,E_1.5,1/2-1/2,30+0
E_2,E_0,1-0,30+0
E_0,E_2,1-0,30+0
E_2,E_0.5,0-1,30+0
E_0.5,E_2,1-0,30+0
E_2,E_1,0-1,30+0
E_1,E_2,1-0,30+0
E_2,E_1.5,1/2-1/2,30+0
E_1.5,E_2,1-0,30+0
E_0.5,E_0,1-0,30+0
E_0,E_0.5,1-0,30+0
E_1,E_0,1/2-1/2,30+0
E_0,E_1,1-0,30+0
E_1,E_0.5,1/2-1/2,30+0
E_0.5,E_1,1-0,30+0
E_1.5,E_0,1/2-1/2,30+0
E_0,E_1.5,1-0,30+0
E_1.5,E_0.5,0-1,30+0
E_0.5,E_1.5,1-0,30+0
E_1.5,E_1,1-0,30+0
E_1,E_1.5,1-0,30+0
E_2,E_0,0-1,30+0
E_0,E_2,1/2-1/2,30+0
E_2,E_0.5,0-1,30+0
E_0.5,E_2,1/2-1/2,30+0
E_2,E_1,0-1,30+0
E_1,E_2,1-0,30+0
E_2,E_1.5,1-0,30+0
E_1.5,E_2,1/2-1/2,30+0
E_0.5,E_0,1-0,30+0
E_0,E_0.5,1/2-1/2,30+0
E_1,E_0,1/2-1/2,30+0
E_0,E_1,1-0,30+0
E_1,E_0.5,0-1,30+0
E_0.5,E_1,1-0,30+0
E_1.5,E_0,0-1,30+0
E_0,E_1.5,1-0,30+0
E_1.5,E_0.5,0-1,30+0
E_0.5,E_1.5,1/2-1/2,30+0
E_1.5,E_1,1-0,30+0
E_1,E_1.5,1/2-1/2,30+0
E_2,E_0,0-1,30+0
E_0,E_2,1-0,30+0
E_2,E_0.5,1/2-1/2,30+0
E_0.5,E_2,1-0,30+0
E_2,E_1,1-0,30+0
E_1,E_2,1/2-1/2,30+0
E_2,E_1.5,1-0,30+0
E_1.5,E_2,1/2-1/2,30+0
E_0.5,E_0,1-0,30+0
E_0,E_0.5,1-0,30+0
E_1,E_0,0-1,30+0
E_0,E_1,1/2-1/2,30+0
E_1,E_0.5,1-0,30+0
E_0.5,E_1,1/2-1/2,30+0
E_1.5,E_0,1/2-1/2,30+0
E_0,E_1.5,1-0,30+0
E_1.5,E_0.5,1-0,30+0
E_0.5,E_1.5,1-0,30+0
E_1.5,E_1,1/2-1/2,30+0
E_1,E_1.5,0-1,30+0
E_2,E_0,1/2-1/2,30+0
E_0,E_2,1-0,30+0
E_2,E_0.5,1-0,30+0
E_0.5,E_2,1-0,30+0
E_2,E_1,1-0,30+0
E_1,E_2,1/2-1/2,30+0
E_2,E_1.5,1-0,30+0
E_1.5,E_2,1/2-1/2,30+0
E_0.5,E_0,1/2-1/2,30+0
E_0,E_0.5,1/2-1/2,30+0
E_1,E_0,0-1,30+0
E_0,E_1,1-0,30+0
E_1,E_0.5,0-1,30+0
E_0.5,E_1,1/2-1/2,30+0
E_1.5,E_0,1-0,30+0
E_0,E_1.5,1-0,30+0
E_1.5,E_0.5,1-0,30+0
E_0.5,E_1.5,1-0,30+0
E_1.5,E_1,1/2-1/2,30+0
E_1,E_1.5,1-0,30+0
E_2,E_0,0-1,30+0
E_0,E_2,1-0,30+0
E_2,E_0.5,0-1,30+0
E_0.5,E_2,1/2-1/2,30+0
E_2,E_1,1-0,30+0
E_1,E_2,1/2-1/2,30+0
E_2,E_1.5,1/2-1/2,30+0
E_1.5,E_2,1-0,30+0
E_0.5,E_0,1/2-1/2,30+0
E_0,E_0.5,1-0,30+0
E_1,E_0,1/2-1/2,30+0
E_0,E_1,1-0,30+0
E_1,E_0.5,1/2-1/2,30+0
E_0.5,E_1,1-0,30+0
E_1.5,E_0,1/2-1/2,30+0
E_0,E_1.5,1-0,30+0
E_1.5,E_0.5,1-0,30+0
E_0.5,E_1.5,1-0,30+0
E_1.5,E_1,1-0,30+0
E_1,E_1.5,1-0,30+0
E_2,E_0,1-0,30+0
E_0,E_2,1-0,30+0
E_2,E_0.5,1/2-1/2,30+0
E_0.5,E_2,1-0,30+0
E_2,E_1,0-1,30+0
E_1,E_2,1-0,30+0
E_2,E_1.5,0-1,30+0
E_1.5,E_2,0-1,30+0
